Date,MaxTemperature,MeanTemperature,MinTemperature,RHumidity,Rainfall,WindSpeed,Demand(MW)
1/1/2016,27.6,19.7,14.5,75,0,3.3,235
1/2/2016,28.2,19.5,13.9,73,0,3,251
1/3/2016,27,19.1,13.3,74,0,2,244
1/4/2016,27.7,19.3,14.1,72,0,2.5,242
1/5/2016,26.8,19.4,14.2,73,0,2,251
1/6/2016,26.6,19.1,14.6,76,0,2,244
1/7/2016,26.4,19.2,14.2,76,0,3,245
1/8/2016,26.3,19.3,14.5,76,0,2,239
1/9/2016,20.6,17.3,15.4,87,0,3,252
1/10/2016,24.9,18.7,15.3,76,0,4,236
1/11/2016,26,18.4,13,73,0,2,251
1/12/2016,25,17.7,13.2,79,0,2,255
1/13/2016,24.5,16.8,11.6,78,0,3,250
1/14/2016,24.4,17.4,13,79,0,2,244
1/15/2016,25.2,17.8,12.6,77,0,2,240
1/16/2016,24.2,17.7,13.7,78,0,3,132
1/17/2016,25.4,18,13,76,0,2,241
1/18/2016,25,18.1,13.4,74,0,2,247
1/19/2016,26.6,18.8,13.3,72,0,2,252
1/20/2016,18.4,16.2,15.8,91,0,2,190
1/21/2016,23.3,18,14.4,87,11,3,239
1/22/2016,22,16.6,13.7,89,0,2,226
1/23/2016,21.6,16.5,14.3,85,0,4,246
1/24/2016,20.7,15.8,11.4,91,0,2,251
1/25/2016,23.8,16.7,13.3,83,0,2,253
1/26/2016,22.9,15.5,12.3,84,0,5,252
1/27/2016,23.1,15.3,10.3,76,0,2,241
1/28/2016,25.1,17.9,11.2,63,0,4,247
1/29/2016,25.2,17.8,12.3,64,0,2.5,240
1/30/2016,24.7,17.8,12.6,76,0,2,252
1/31/2016,23.5,18.5,14,76,0,2.5,247
2/1/2016,25,19.8,16,82,0,3,243
2/2/2016,25.2,19.7,16.2,89,0,3,246
2/3/2016,26.2,19.6,16.5,84,0,3,244
2/4/2016,27.3,19.6,14.4,69,0,2.5,248
2/5/2016,27.1,18.8,13.8,67,0,4.5,235
2/6/2016,28.4,19.7,13.6,68,0,2,253
2/7/2016,28.2,20.7,13.9,73,0,2,246
2/8/2016,30.1,21.9,15.5,66,0,3,256
2/9/2016,27.3,21.6,17.8,74,0,2,248
2/10/2016,27.8,21.7,18.4,81,0,3,242
2/11/2016,27.3,21.7,17.5,81,0,5,249
2/12/2016,22.3,19.4,17.5,84,8,5,238
2/13/2016,29.1,21.2,16.3,71,0,2.5,239
2/14/2016,30.1,22,16,65,0,4.5,250
2/15/2016,31.5,23.1,16.8,66,0,3.3,254
2/16/2016,31,23,17.6,67,0,3,255
2/17/2016,31.1,23.4,17.9,64,0,2,260
2/18/2016,31,23.8,18.5,66,0,3,257
2/19/2016,31.2,24.4,19.4,69,0,2,256
2/20/2016,31,25.5,20.7,73,0,2,284
2/21/2016,31,25.9,23,81,0,2,275
2/22/2016,29.8,24,22.2,65,17,2,262
2/23/2016,30.5,24.4,17.6,74,0,3,266
2/24/2016,27.6,22.7,20.6,82,1,2,235
2/25/2016,27.8,22.4,19.6,78,2,3,243
2/26/2016,30.9,24.2,18.5,66,0,2,250
2/27/2016,32.5,24.3,18.8,64,0,2,257
2/28/2016,32.7,24.7,18.1,55,0,8,262
2/29/2016,32.8,24.4,18.2,56,0,2,258
3/1/2016,32.6,24.2,18.4,59,0,6,257
3/2/2016,32.3,24.7,18.6,64,0,2,267
3/3/2016,32.1,24.9,19.8,64,0,2,272
3/4/2016,32,25.5,20.8,67,0,4.5,267
3/5/2016,30.1,25,20.5,69,0,2.5,275
3/6/2016,33.5,26.3,20.6,62,0,3,251
3/7/2016,32.5,25.6,19.5,62,0,3,266
3/8/2016,32.5,25.7,20,66,0,3,276
3/9/2016,33.7,26.8,20.8,69,0,4,295
3/10/2016,32.8,26.9,22.8,71,0,3,272
3/11/2016,33,26.2,22.5,75,0,2,286
3/12/2016,32.8,26.6,22,70,0,2,277
3/13/2016,32,26.1,22.6,74,0,2,280
3/14/2016,32.3,25,20,71,0,2.5,288
3/15/2016,33.2,25.9,20.2,64,0,7,285
3/16/2016,32.5,25.6,20.6,60,0,4,246
3/17/2016,34,25.7,19.3,57,0,2.5,260
3/18/2016,33.6,25.4,18.5,47,0,4.5,268
3/19/2016,32.3,26.3,19.9,57,0,2.5,279
3/20/2016,31.2,25.1,19.9,78,22,5.5,266
3/21/2016,27.4,22.9,20,86,14,5.5,214
3/22/2016,32.6,25.4,20.2,70,38,6,266
3/23/2016,32.5,25.9,20.4,61,0,6,274
3/24/2016,33.6,26,21,63,0,3.5,285
3/25/2016,35.5,27.2,21.1,60,0,6,278
3/26/2016,34.4,27.3,21,58,0,3.5,299
3/27/2016,32.8,27.2,23,70,0,3,283
3/28/2016,22.8,21,20.5,93,27,5.3,211
3/29/2016,29,24.2,18.8,84,11,5,272
3/30/2016,31.4,25.6,22,84,5,6,295
3/31/2016,30.2,23.7,19.5,80,17,7.3,240
4/1/2016,26.5,22.3,18.5,81,5,6.3,246
4/2/2016,30.2,25.3,18.6,69,1,4.7,283
4/3/2016,24.9,23,22.1,94,0,5.2,245
4/4/2016,28.5,24.5,22.4,91,35,3.8,200
4/5/2016,24.8,21.9,23,95,32,4.7,171
4/6/2016,29.1,24.3,20,84,166,4.7,234
4/7/2016,32.8,27.5,20.2,79,14,5,238
4/8/2016,31.3,25.2,21,80,1,7,286
4/9/2016,32.7,27.7,18.6,79,66,2,298
4/10/2016,34.2,28.4,23.2,81,10,3,267
4/11/2016,34.4,28.4,25.7,75,0,6.5,288
4/12/2016,34.8,29.3,23.5,71,6,5.7,304
4/13/2016,35.5,27.1,24.2,71,2,6,264
4/14/2016,30.3,25.1,19.5,74,32,5.2,283
4/15/2016,30.2,25.2,20,77,34,3,261
4/16/2016,27.8,22.5,19.5,92,13,8,87
4/17/2016,28,23.5,20.4,88,153,6.6,190
4/18/2016,29.2,25.9,21.8,86,67,3.8,249
4/19/2016,28.8,24.7,22.6,83,0,5.2,265
4/20/2016,30.3,25.9,22.2,88,16,3.7,247
4/21/2016,34.1,26.5,23.3,82,0,11.5,93
4/22/2016,30.3,24.5,20.9,90,146,4.2,166
4/23/2016,34,27.3,21.7,80,59,3,195
4/24/2016,32.2,27.9,22.7,79,0,5,260
4/25/2016,30.7,25.8,21.7,77,13,5,310
4/26/2016,32,27.1,21.3,81,109,4.8,300
4/27/2016,32.4,27.9,23.2,79,2,3,324
4/28/2016,33,27.9,23.2,79,4,3.7,310
4/29/2016,32.5,27.6,19.9,71,18,5.5,316
